borrower_id,role_profile
d4ec9f96-f8f2-4f0a-abf0-0834f6f459bb,borrower
cfe127d5-c8bd-4b41-b4d5-648c25b2d07c,co-borrower
00347dda-8ba3-427b-9201-a4c722316502,borrower
3f91c0f2-304b-4955-a839-3d237f6a51ae,borrower
0dfc5f45-dc03-4404-b14b-672b537e364b,borrower
457030c8-6712-484b-bee8-2657e979d691,borrower
bd2c6f1d-e408-4059-82c2-fad8779d6c43,co-borrower
0d8ce26a-e908-41b2-a1de-6411124565af,co-borrower
6451880d-4fa2-40f8-94ce-f173ee7ed9d9,borrower
dd326aac-57bc-4585-aa0c-4940b47ac213,co-borrower
37871ee7-0fd5-4ad3-8260-d54c9f3c1aae,borrower
06c9fc60-245b-4bdb-b87b-d85a3dab00c5,co-borrower
8edce1c0-4536-4858-8c17-94464d202dca,co-borrower
f8ff65e7-0e2f-4f6f-92d4-c97b2c56604a,borrower
4d755788-551b-4f5d-adb9-3c8b98307fd3,borrower
c6d435d6-5d57-4eea-9692-a557148d9972,co-borrower
ee64729e-5429-49c5-a953-fcc1384dee29,co-borrower
37807570-c5be-41b2-8348-90f9b17f6cec,borrower
2fb16301-bcd0-4d6c-bc8e-5c6cdb9e7761,co-borrower
1937e9a1-27fb-4d3e-80c1-f3acc05a621b,co-borrower
75d36e53-ae10-47cd-b86c-5b99a5c6ed05,borrower
3e4a441c-505d-4752-9d37-154a80facb73,co-borrower
4e3a56d6-a8b2-4547-ae47-3ab8386dd01a,co-borrower
4d3cb8b5-9261-4390-9866-24b272abfa23,co-borrower
0c31e77f-c173-4b09-9036-fea15802fc99,borrower
a7e50df2-1da1-4ef8-a3ae-7a2224cf2cab,co-borrower
85f27bcf-1281-4b91-b891-16a85cf47e94,co-borrower
a5a41ce7-46b3-4740-880b-d504efc8e6b1,co-borrower
aa3d7985-88d4-4578-b0d8-2a0902c6d44a,borrower
78399387-2c11-410d-968d-d59c7c3936e2,co-borrower
c9505b93-d1fe-43cc-bf6e-519df1cbc5be,borrower
84619122-652f-4252-b928-85ca84df302e,co-borrower
6c53ecde-550e-4cfe-8921-2a918fe09ace,borrower
fedd0a5a-8e27-4275-9a8f-6bda3dbd6878,co-borrower
32a7bde7-f91e-4605-bd1d-56311285e6c3,co-borrower
465d0e23-9dd0-4754-b0c1-56e880a9f6fe,borrower
052e683d-81a4-478b-9a47-1652fe2179e1,co-borrower
a9cb3243-3420-4fa7-8c2a-2c1e960a1f8f,co-borrower
df60544e-2637-4335-9c8f-bf9feac7ce12,co-borrower
339ecab6-5af8-482a-a5ca-b4367e3bebf7,co-borrower
70f8f096-5811-4965-81f7-e478b2762e5a,borrower
9290912f-5c4d-40df-a040-810564e87e95,co-borrower
cc2d7297-b0a3-4cd0-809b-84e346e24559,co-borrower
d39f21f1-2297-44df-ba82-61ab2abf01fe,borrower
48f7cb0c-d5fb-42fc-9b2d-9879efd0f3f9,co-borrower
b2c4b04b-6c88-4fb7-b2cd-156002415fdb,co-borrower
a1f893f7-84da-4104-a588-e9489cd870f6,co-borrower
e9bab23d-8f30-4bef-bc48-1a7be45d35b3,co-borrower
16cf4ca4-04e6-413c-b694-437975ca90c0,borrower
49021ba6-8e6b-44a9-90da-d6d118158c1c,co-borrower
8d9bf04c-fd47-4e29-bb2e-c083461831d9,co-borrower
194a1bd4-9b76-4f91-a90c-e9509d722ec1,co-borrower
ed616515-89f7-4005-a292-24f4206d914e,co-borrower
85a3d01f-620a-4e22-95ae-ecee05e87928,co-borrower
24fc680e-9ac7-483d-bfa4-bee79096aa71,borrower
3a02d5b3-cd29-4a27-83b0-350cf3ecec06,borrower
fa02ad96-338f-4762-8c47-54e677aaa91d,borrower
c8c836cf-38cb-4304-9b67-92f6ea7f7159,borrower
b1f29f74-4ae2-485b-ad86-83be827c2f77,borrower
bccc9a28-3665-4449-be72-345b087f4fdb,borrower
04197c1a-8539-485f-a3ed-6b7841586b1b,co-borrower
62c6ac6c-0b99-4b20-8c11-802f5442d456,co-borrower
6648ea16-0b72-43be-a021-cdd1058fe979,co-borrower
465ec116-6057-4333-9133-7aa3839147f8,borrower
8407adc6-85ab-407e-be72-803ad2782ac9,borrower
efa67900-3183-40b3-8c47-bc20edff8925,borrower
c6f3d55a-c15a-49a1-8378-44616937ea29,borrower
5852bfd7-119a-4d72-bc00-cd82d133af2f,borrower
ed474bca-0a7f-4d3f-a421-8dff10e8e8f6,co-borrower
ef6c4701-0b6e-49b0-a7e8-0c9444a391af,co-borrower
12579357-4956-43c1-82ab-01fab698aaa9,co-borrower
7f4929d7-7a6c-42b3-a68c-15e96f15a695,co-borrower
93f811b9-898b-4989-94d1-2049334e9c22,borrower
5262cd35-3c48-4081-9163-66d3bfc54f9a,co-borrower
5af39a40-ff4a-46ba-a836-9355485a7346,borrower
99f95808-b5b4-4128-b8b8-19aeca13d6eb,borrower
0600b4c0-8e90-474c-9695-7d872904a73e,co-borrower
50210177-4514-43e6-8e33-162639f9bc5e,borrower
321b3867-3e79-481e-bfd4-7881239178bf,borrower
a3227bd8-e1a1-40ff-9f11-f839cc9b4450,borrower
c0fa5903-7f19-4545-962c-80ab42504d8d,borrower
a4ff817a-8338-49ea-bbb2-785501db956c,co-borrower
b2bedc3f-e3bd-4a8f-86e8-0dca671cbd6e,co-borrower
edfdb488-7ea3-4d28-a218-876bed60f194,co-borrower
c05728de-d8ce-4eba-abe7-dbce8aa1fc1b,co-borrower
94651f03-17e1-464e-8df7-19aa1e88971f,co-borrower
b1af0225-e2ba-43c3-a158-42133e694a32,borrower
bac74286-23b9-4c25-8b71-8cdc97c6a52d,co-borrower
1af63006-ac1a-4ef1-9c6a-4a63d845439b,co-borrower
b2f0fb8e-c5fc-4a88-af45-640ef1f5844b,co-borrower
9a4bbefc-6e10-4790-843b-4ed8ec6da8fa,borrower
27a91652-09b9-4c47-8ecd-0acdc159e59d,borrower
4cff327b-c134-46c2-97d6-54ea869f0508,co-borrower
a9072821-2489-4d04-a7e5-858d3aa7bd92,borrower
d3717278-474d-4f7e-80af-1e9923aab0d9,borrower
e1a80094-eee9-45ca-8181-88484c4b8b4e,borrower
366b104f-fda8-4e9d-be53-e80ce2ef6ae0,co-borrower
f9565bbe-35f9-4d8f-b4df-a0ab88d75520,co-borrower
c07db15f-c5cc-4bfb-9e80-0351181c4710,borrower
474b3ae6-d47d-4e7e-8e4a-8500b085d507,borrower
c1fc1763-0234-487a-9121-93e8cd87448e,borrower
1d6bb3fc-f0a3-42a5-9f9c-2c90500a2694,borrower
e6c38a39-0fed-413c-8b52-591fa661890f,co-borrower
54a2d857-fc03-4c39-8d88-7e23cf288610,borrower
4b387c0f-6d49-4892-a61d-0852f981b90a,borrower
da133485-0435-4011-b6a2-2d1d23f52b3e,borrower
28c6658d-8397-4e60-8d49-4ef888be4be5,co-borrower
e327d4b6-e47f-4d63-a85d-ac3945a4b187,co-borrower
1d9cda64-4eee-458c-a860-0c6c79ab196e,co-borrower
d710968b-839a-4a1d-b29a-37b513acb947,co-borrower
110132b5-2bad-4b29-8947-f0ae2b2d5a83,borrower
8d49b45c-3401-42e1-9ff9-3617327d909a,borrower
27e5c8c5-6ba7-4e22-8103-01a390318db4,borrower
6c0a1eb8-cb4d-4a0c-8c58-4b52cc6f2da9,co-borrower
e4ada729-fa9a-477b-a1c4-090e943d1f8f,borrower
8c8e3147-e293-41df-8a43-0efd5195e785,co-borrower
2a8fd24f-27b6-4848-acfb-ca7f5141bf92,borrower
65ca0cf6-5321-4fa3-9970-861a84297780,co-borrower
756db239-89df-43db-8416-2ccf75f64afb,co-borrower
a752b254-89cb-4cc4-8922-daa38ae426eb,borrower
5b3f5363-b644-4f96-999c-8a9d7ae58bff,co-borrower
904e11ca-789b-4153-9d92-47dc72e7c7d6,borrower
0740d589-7625-4e1a-a697-e1f9af6842c1,borrower
362dc902-013c-4bd6-96fc-740b8f245832,co-borrower
b88d0eb7-ea09-48a2-89b7-aeac23b69bde,co-borrower
aa74be8a-0e93-4cad-8530-fa8cf4a8949c,co-borrower
a88b6325-f505-4f05-9982-0bd4904086b5,co-borrower
060926cc-5d43-4e85-a423-9189485b5675,co-borrower
2a3589e2-5b5b-4037-9399-4f72b6680516,borrower
50a593da-dd23-42da-b799-7ee258ec7508,borrower
9bf35a46-95db-43e8-bc8a-5d3ff4f63091,borrower
293049f1-2dc8-4d84-9475-262e61faaf48,co-borrower
bffcc690-d455-40cb-8f3a-e6fe9d025a7d,co-borrower
0fbb9b2a-799c-4139-b947-1de0c496196d,borrower
dfc321f3-8437-4b6e-8d81-d214ea612c94,co-borrower
46b9f2b7-46f8-41f6-89dc-12b9e0011355,borrower
4835a8c6-90f5-4440-bf26-4eda1f4578e8,borrower
531cfc76-24c7-46c8-93af-0504bbd07c13,co-borrower
77c121b7-c804-441e-b433-ab842566b34c,co-borrower
53f75446-c2aa-494d-9331-00354e689834,co-borrower
b4a330e1-9837-4c14-9306-4c116428dc93,co-borrower
37b26346-7d9f-4a8a-8c1b-95eb2be27341,co-borrower
479d80c5-db66-48fa-acb4-f015ca4c65dc,co-borrower
257a1f1a-6414-4d1f-aa6c-dc6dc2df42fe,borrower
16222cd8-cddf-4ecf-950c-5f7cd2aaf3f0,co-borrower
a61102bf-e6a7-466a-b714-4ebaadbb6f0c,borrower
ee0a2867-fce6-4659-8443-a28e1ffe827f,borrower
102806b2-d73b-4060-8d83-827f1bfc9a85,borrower
6f0a4b86-bf20-46b9-931f-c2cc81bab53f,co-borrower
99616115-b6a5-4df1-a6f7-8ba51a703c07,co-borrower
c332c60f-0909-408d-8f50-75f3f18f8f28,borrower
dc106c52-680a-49c1-a0ad-2ad1fdb23769,co-borrower
2f38a330-8889-431f-ab57-9ee5d4c47368,borrower
baf9833a-2bf3-4a13-8cb8-4c1e0a1f6d8e,co-borrower
03f51943-c647-42ce-9fc5-8b606e0ff4c3,co-borrower
cba563a0-6c97-4d21-9176-4e67e8e2247c,borrower
e3502c23-e90b-4827-9c5c-b2f730663f9f,borrower
d704f305-8807-4ae8-897d-01e2bad738bd,borrower
ed8d743b-a698-47f7-8d11-ab0c1ce01a3e,borrower
6fab1576-9df2-4269-bb61-bd421e705bdd,borrower
96854b77-dc67-4145-ac0e-cf0df3e45066,co-borrower
76ab295c-554f-412b-b4ea-638bff8aa9b1,borrower
85a7b0eb-50ce-4fc0-b3f0-cd644a28bb9c,co-borrower
a3891dc0-d3f3-4180-84b6-c856329958e8,co-borrower
b5aac324-db7f-40e0-9603-3ab22fc3f086,borrower
8a4ec45e-cb8a-4184-9f8f-17a5a3e53ad3,co-borrower
66257825-140c-489e-9d88-ab2c20c7ef39,borrower
7da2aa83-6e48-4e6f-9ce2-25ca61d1cbeb,co-borrower
55599c4d-624f-46dc-aff2-53a7e10121c1,co-borrower
f25cab95-5ef3-4020-b6d0-66311b087962,co-borrower
42647005-2dfd-4688-afa4-bdfb0e3d5600,borrower
576c0977-76b1-4729-805c-fd1e920c0409,co-borrower
364f21ec-f802-4464-a634-312c36fb6ce5,co-borrower
ba6359fc-baa4-484a-8038-9e1313491031,borrower
036562e0-0cb1-4d2b-ace2-e6ddd8079b7a,co-borrower
1ac599d4-45ce-4f6d-8083-56dbdc66271f,borrower
ef6def78-7113-4fdc-b07c-e57c2b224aec,co-borrower
63d8ad90-5e71-4a5b-8853-9c49ee509381,borrower
e640dbfa-b8ab-4423-9376-9593a722aba8,co-borrower
6ca5eaef-e1d9-4942-8b3d-95e5f61a3dcf,borrower
7d15894b-b4d9-4963-9529-fda9722803e0,borrower
0b315a97-59cb-49f0-a20f-4d81322b0116,borrower
b7844ed2-e2f4-43e8-8d99-b03d6b169320,co-borrower
519539ec-9e9d-4bd8-89b5-fd9ebc1a06d6,co-borrower
f9d92b84-4309-4406-a909-4cdbcd021c04,co-borrower
ed8a9ef8-bc0a-4ebd-9851-2f465ab1ad51,borrower
02eb38d7-4001-4164-aa49-2364e16c08a0,co-borrower
881ddeaf-6be0-4aea-bbab-b094b9a923b9,co-borrower
c233b04f-c5b1-40d3-910c-b19179a7821c,co-borrower
d015cf19-bc06-4a3a-893e-96f6157f6ac4,co-borrower
19bb614a-81f4-411e-b24b-289bf3c063f7,borrower
996b7b66-4e8f-486a-905b-dfc65c30c935,co-borrower
13df9b6c-0501-474d-91e4-e7cf812c9c86,borrower
3195241f-f771-46b6-94f8-dcb219788656,borrower
3b8add0b-005a-4d67-b864-545aa9ef5c8a,borrower
56e3bf28-11fb-4071-a6bd-9e575766558f,borrower
b6323bf8-981a-482b-84f0-948a3adfdebf,borrower
0dc2fe46-cf5a-4e99-a151-f365b2f3df5b,borrower
069ff2bb-07f2-42ed-a739-da635fab676a,co-borrower
02dd802c-b537-4be4-a6c2-9c2323893163,borrower
ff31bae7-8b6e-4103-8ad8-5962d73b7e65,co-borrower
fe183af7-dc30-4ba9-88db-364c2a8be21d,borrower
4a328d58-6746-4082-b1b6-1e2201b251d2,borrower
39e4d381-137a-4813-874f-9f1668efb15d,co-borrower
c0840b5e-5dff-4aeb-a704-e1eadc579617,co-borrower
7952f2d8-f659-4bff-b181-aed5b9aab270,borrower
bc2f1720-b0c5-410b-bd37-67161116685f,borrower
c6d42909-c8a1-4c5e-8f9d-864552c08d24,co-borrower
175f8c41-dc71-48f2-893b-43bfff949c6b,borrower
204e5a14-471f-4b42-a1fc-4010aa2f7567,borrower
69af9302-53fa-4c0d-9845-de90acca554e,co-borrower
7d490b02-d949-4944-b339-1d7d83909a9a,borrower
7fcfc3fc-a635-4462-9d5c-c98201a7e79b,co-borrower
1d44a5b4-bc6e-4fc5-b35e-25f69a27bb85,co-borrower
a7799af3-40fb-43a2-9154-b7332b4ad276,borrower
6ccb71fb-25fb-4173-b76e-4932cffcb593,borrower
bf25730a-15a2-4d34-ad7b-8629c5c7ffdf,co-borrower
2db536a7-0a35-48e3-90cc-3bc55785afd8,co-borrower
f3d813c0-a9fe-49dd-ae0a-283c942a3c7e,borrower
59a9e9a6-9e2c-4616-8d39-5a2ab9b7c9f4,co-borrower
937457ef-6c9d-467d-95f3-5b55d2419362,co-borrower
51016f52-ac07-44c8-8f18-d30c0afe36d2,borrower
65fb76c5-53bb-463c-90ae-b1e268fff885,co-borrower
8e19e843-3002-47ac-aac8-b5544238dfa1,borrower
b408eb2e-13cc-4b25-9802-2f6e69efc83e,borrower
bf92d737-6262-44a1-9c5e-3c61ab24c54e,borrower
d66d00de-eb19-4020-a5e0-6ed4db539014,co-borrower
ddd66315-3c1b-4d11-a324-9005ecf2d152,co-borrower
395296bd-72ad-4d8c-8898-88e7caa81049,borrower
fa900028-81d6-442c-8d79-5f6c8ab0055c,co-borrower
464b5d35-836f-4f72-b5e7-bf9d0a1ab9d2,borrower
2697da7d-75e2-4073-92ca-204a0cf54aa7,borrower
8c4ffac6-60c4-4320-accf-1acfe3615ab3,co-borrower
6b0d225e-cfe3-4afd-95f2-2c218da6ab38,co-borrower
e39b0e98-6625-4a50-a5fb-99b7f1a9a232,co-borrower
f1f0f224-28ec-4d18-aa6e-447f80f56bea,co-borrower
336bc546-329d-4be0-b740-20251c5991d2,co-borrower
230cfce2-1356-40db-9be2-bb7abddabc9e,co-borrower
9cbb1853-5db9-4947-a00b-57c5048016f3,co-borrower
c0c4b29a-9b9d-4dc9-aff6-497ea43b98ba,borrower
0cad0332-118b-4ff4-a968-115b8a7fb834,co-borrower
8e570aa7-2d2b-450d-8f0d-67d63a55a8f6,co-borrower
a18b4ec6-5ece-49ed-9c88-f16e0f533a6d,co-borrower
03a632f9-29a0-48c4-85d0-ca87814f3366,co-borrower
d61bb561-9945-43f9-98fe-70657db91017,borrower
d5ac8cf1-06b1-493e-9118-46d530972026,co-borrower
b8e1356b-33a4-4481-985e-090be641f3cb,co-borrower
a6a6ac36-9a9f-46c4-88a6-f3e092b0fba4,borrower
fcdc7f83-6f65-491a-b23b-8bbeff7008ed,co-borrower
b47aa2c9-e0ba-4594-99dd-e5056a5ac316,borrower
ea7054dd-fe04-49a9-83d8-798e2b123a49,co-borrower
00ed3149-1d2d-4337-a65c-2af1c96b1516,borrower
40a57868-06ef-4dc7-8e55-215cc2467bb8,co-borrower
29bf3c23-6226-492a-9671-b4784b02e294,borrower
2b62a141-1926-438d-8090-61173d789925,borrower
012faba8-3d33-44cc-988b-3e81c25068a1,borrower
98e7f1df-5d74-41f9-9dcd-5a69cd554ad8,borrower
65bdaaa1-f52c-465f-be94-4e654c49001d,co-borrower
1d9f4cfb-9fea-4450-8b31-60e206857660,co-borrower
0362f854-f371-4451-b837-ad109062f476,borrower
096da4d8-3092-4c61-9574-1deaafe5fe12,co-borrower
b24c67b3-d9ba-47f5-af7b-c50019df5e76,borrower
974c91da-afa4-443f-95fd-322346996c0a,borrower
83a32dd3-0380-4853-b18b-f668e5f8c1c2,borrower
4040ad53-8da0-4d31-9052-da252e33ab64,co-borrower
e09cff7b-fc20-4aa4-a91e-ad608430e5bc,co-borrower
765ba144-3395-4364-bea3-185f717a334f,borrower
abe67a87-056a-47bd-8537-ce2785a3caa2,borrower
a99cca49-1f70-4b08-9ce8-5ffc2da7055e,co-borrower
a36adafc-8ca2-4274-bc3d-7f969c861963,borrower
e7e5ade9-ffe8-47b1-84fe-23bf932c8f8d,co-borrower
1df399ae-417a-49bf-86b6-482bf03b1747,borrower
77a0d223-63a4-45e3-bfbc-6214d57f8b26,co-borrower
7164f88f-e6ac-4f8b-9bab-6ca2bd899f60,borrower
9d5052a7-8d71-4b93-b41e-c8db317320d4,co-borrower
2777a49d-8cf5-42a0-b26d-01ad2a5f0e72,co-borrower
109f7dcf-9510-4538-8fd4-efe38cd38083,borrower
36c81201-8a0c-440b-a510-e5c1307ef6b9,co-borrower
e2ebef0f-fd5e-4481-9b18-f42803e0204f,borrower
38b6698d-5a64-40d9-a450-c19aa31b738a,co-borrower
b981cedf-e0bb-4c00-bfd6-7ec1410fd1a5,borrower
f389d739-b4ae-42e6-9c7d-2da031369025,co-borrower
fecb4cff-64b6-400d-bcd2-0519e70f2ae9,co-borrower
5d3dcc1c-94bf-4047-a918-36d78c9075bd,borrower
5d4650fe-b25d-42b6-bc0e-c1a9773afe5b,borrower
9b39a020-31d0-4947-a7b1-e88f8e2fcb90,co-borrower
8d51051d-b215-4f1c-8b45-18531b1dcfc2,borrower
efd0dfd4-5a3c-46de-9a40-6cccb6d4f0e3,borrower
f305d43f-6afc-42e7-953b-5c9f9278665e,co-borrower
2f38c485-1a92-4897-b0a7-de75e4e662e9,co-borrower
b2e10cc2-5be0-425a-ab64-cf0b20ef0104,borrower
f3df293b-e855-45e0-84d8-047092d22f61,borrower
220a8676-548f-44d2-bfb3-95a2da31a829,co-borrower
6d8c206d-7b83-499e-9f77-69f5fcd4d932,borrower
d0ce438a-b339-4fa3-9761-c2df15ffe689,borrower
dd40af8c-6243-4708-b447-de4da0978a76,co-borrower
f356b1c3-9c2f-4fa0-aaac-0881aa1ecdbf,borrower
5fe2ea94-cec0-4c36-bb62-429301e6c66a,borrower
ae591596-99a4-4276-a92a-bafab027c8f9,co-borrower
46ed5c28-a6ef-4e10-9bca-8bbbd64279ec,co-borrower
5646b3ec-8e33-4374-902e-7a3277d48705,borrower
b331349a-6d13-44aa-8ece-7e977eaa9310,co-borrower
2a2a8948-b888-4103-a1bd-3b0fbfc84273,borrower
64e3f5f7-1abb-498e-938c-5dd268c04a08,co-borrower
cbbb7489-992f-45d9-9ad7-c426916f561a,co-borrower
ce9ce407-1772-4fea-b239-07567fc40b6d,co-borrower
f8a60d98-3981-4d4a-9ae9-1042d636c0ed,co-borrower
ba523654-3549-4084-94a6-aa1e8f56654f,borrower
ec1ace5d-6c69-4d1b-abc8-e4f69ed1b779,borrower
8552720e-9e75-4dc6-b4ed-82379d15831a,borrower
781fe520-4948-4ff5-a71a-78155e8d7805,co-borrower
0ee229cb-1724-4a3c-9ca7-fd87f2e35cf4,borrower
3b59a32d-f182-4263-94a2-918dca82f864,borrower
7afa1205-f5c7-4978-90aa-d9c97e2e9d45,co-borrower
daf6b4dc-9128-4059-8f7a-fdf234881610,co-borrower
b77c530f-3ec5-406b-b971-a7892f99a34a,borrower
180e22bc-7ef4-4ea6-bfeb-c818367d37ee,co-borrower
f73b0cd7-5d30-42ad-a11e-d0a9e759178f,co-borrower
445c8e2e-41e6-42f8-b837-a2b3f3cde07d,co-borrower
a58d100e-181c-461e-89b5-2cc8ff852d68,co-borrower
30e12710-5943-494a-93ad-27a87a9e2a3a,co-borrower
f35a0b05-9260-45af-afa7-129d2f96cdd1,borrower
f09e9e90-5cad-4e9e-932f-455eb05ede66,co-borrower
dc4ba966-4eb1-491f-ae40-847f0c49bfb1,co-borrower
b12354eb-0dc6-4c65-afa1-df6b6af9d937,borrower
08462bf8-e401-4879-b9f4-2914af9242eb,co-borrower
37b3014e-ef2b-4a3a-b2ca-a9732932eab5,borrower
1bea1fe0-a7a7-41e7-8f8b-65c96ac9c63d,borrower
e5c20fed-1c9f-4621-9aa6-7f79c3890ac3,borrower
74993eb1-0225-4ade-aef9-c35ba92b4859,borrower
70345fd9-8968-4df4-bdb3-e0ab7673046c,borrower
3e8a6473-7c88-4f80-a843-1db98fd4bd2e,borrower
a20062d8-0357-4ebd-9520-bb4038f457b8,co-borrower
776f32f8-ec05-4464-94f3-afa9ae64e766,borrower
be597e8a-7525-46a4-94ff-e2bf1b7ad8ce,borrower
b354e759-16eb-4b75-8b64-c24ecf8106d7,borrower
302f07cc-237e-4589-8042-ee291260387c,co-borrower
